Init Weights Param,Mean Opt Param,Mean Num Weights,Mean Port Return,Mean Optim Iter,Num,Time
-1.044436565,-1.044436565,10,9827,1,10,0.010000467
-1.309602915,3.96549973,12,10175,13,20,0.089004993
-1.24827193,11.00146986,14,10355,25,30,0.259014845
0.870782656,19.75802083,15,10530,26,40,0.370021105
0.16082812,23.01885244,20,10216,64,50,1.572089911
0.357298798,23.63883397,20,10207,73,60,1.742099524
0.507774185,67.07265206,28,10225,131,70,3.810217857
-0.286359401,111.4320229,43,10186,70,80,2.354134798
0.23958549,142.9264356,38,10223,71,90,2.811160803
0.982357755,153.3915029,40,10376,85,100,3.923224211
-0.88170268,151.6347144,44,10354,79,110,4.203240395
-1.091616981,57.38200977,17,11589,45,120,2.71015501
-1.188714727,57.38197311,17,11589,62,130,4.608263731
-1.599790392,57.38199495,17,11589,50,140,4.006228924
-1.533692881,57.38198488,17,11589,50,150,4.679267883
-1.769726341,57.38194001,17,11589,55,160,5.724327564
-1.688103759,216.123124,50,10682,53,170,6.092348337
-1.208095138,67.24542355,16,11903,36,180,4.530259132
-1.194461943,283.5211316,54,10734,67,190,9.472541571
-1.039696178,274.700455,54,10801,62,200,9.513543844
-0.764981356,63.93117071,15,12506,37,210,5.988342524
-0.992464442,63.93119706,15,12506,35,220,6.13035059
-0.969591566,63.93142253,15,12506,27,230,5.494314671
-0.882785205,641.5660115,62,10798,81,240,18.58706331
-0.900039746,365.0233494,52,10946,50,250,11.86567879
-1.191527188,352.061039,54,10889,54,260,14.35782123
-1.110360473,400.542518,52,10958,53,270,15.48088551
-1.213141002,314.8455471,54,10990,53,280,16.71795607
-1.115490523,764.013206,56,10897,66,290,23.29333234
-1.191687895,295.2760988,48,11084,41,300,14.68984008
-1.27708522,419.120327,51,11037,47,310,18.43605447
-1.365179963,467.140305,55,10977,57,320,25.49945855
-1.217397217,502.5544461,64,10971,62,330,27.15755343
-1.18147675,261.7431255,49,11117,37,340,16.82496238
-1.144021533,594.6035433,55,10965,51,350,25.13343763
-1.188935211,278.3956892,55,11082,42,360,22.28527474
-0.567749899,92.85746991,11,13747,12,370,5.679324627
-0.249187055,328.1892027,49,11514,45,380,27.76658821
-0.095674638,476.0075742,54,11340,53,390,38.29219007
0.025520323,358.8606637,50,11461,55,400,45.14958239
0.027120389,435.7536359,47,11514,57,410,46.68267035
-0.057250387,365.6416804,52,11564,46,420,44.41954064
0.238567947,135.3741404,11,14782,12,430,9.428539038
0.359872579,135.392644,12,14781,11,440,9.399537802
0.475092522,670.7015338,48,11950,60,450,63.7126441
0.369647548,481.7442095,46,12108,41,460,44.78356147
0.344368813,202.8227923,16,13480,24,470,26.61152196
0.273818187,452.8074394,40,12442,37,480,46.22164369
0.52746972,284.2296233,12,15237,19,490,23.66135359
0.481050242,283.81399,12,15263,13,500,16.55694675
